127.0.0.1 - - [07/Feb/2019:19:38:33 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /bg-button.png HTTP/1.1" 200 713
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
92.31.59.19 - - [07/Feb/2019:19:41:11 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
92.31.59.19 - - [07/Feb/2019:19:52:33 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:21:15:29 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:21:19:46 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /bg-button.png HTTP/1.1" 200 713
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
92.31.59.19 - - [07/Feb/2019:22:15:16 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /bg-button.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:33 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:37 +0000] "GET /index.html HTTP/1.1" 404 1084
92.31.59.19 - - [07/Feb/2019:22:41:42 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:41:42 +0000] "GET /tomcat.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:41:43 +0000] "GET /docs/security-howto.html HTTP/1.1" 200 35798
92.31.59.19 - - [07/Feb/2019:22:41:43 +0000] "GET /docs/images/docs-stylesheet.css HTTP/1.1" 200 5780
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/tomcat.png HTTP/1.1" 200 5103
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/asf-logo.svg HTTP/1.1" 200 20486
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/fonts/fonts.css HTTP/1.1" 200 1943
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/fonts/OpenSans600.woff HTTP/1.1" 200 22604
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/fonts/OpenSans400.woff HTTP/1.1" 200 21956
92.31.59.19 - - [07/Feb/2019:22:41:44 +0000] "GET /docs/images/fonts/OpenSans700.woff HTTP/1.1" 200 22748
92.31.59.19 - - [07/Feb/2019:22:41:52 +0000] "GET /index.hmlt HTTP/1.1" 404 1084
92.31.59.19 - - [07/Feb/2019:22:41:57 +0000] "GET /index.html HTTP/1.1" 404 1084
92.31.59.19 - - [07/Feb/2019:22:42:02 +0000] "GET /index.html HTTP/1.1" 404 1084
92.31.59.19 - - [07/Feb/2019:22:42:05 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:42:11 +0000] "GET /index.jsp HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:49:01 +0000] "GET / HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:49:03 +0000] "GET / HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:49:06 +0000] "GET /index.jsp HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:49:09 +0000] "GET /index.html HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:49:20 +0000] "GET /devTomCatInfo/ HTTP/1.1" 404 1092
92.31.59.19 - - [07/Feb/2019:22:50:08 +0000] "GET / HTTP/1.1" 404 1078
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET / HTTP/1.1" 200 11286
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /tomcat.css HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /bg-button.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
92.31.59.19 - - [07/Feb/2019:22:50:37 +0000] "GET /tomcat.png HTTP/1.1" 304 -
